"","X2019","X2018","X2017","X2016","X2015","X2014","X2013","X2012","X2011","X2010","X2009","X2008","X2007","X2006"
"AT",4.2,4.4,5.1,5.4,5.2,5.2,4.9,4.3,4,4.4,4.7,3.6,4.2,4.6
"BE",4.8,5.4,6.2,7.1,7.7,7.6,7.4,6.7,6.4,7.3,6.8,6.1,6.6,7.2
"BG",4.1,5,5.9,7.1,8.5,10.5,11.8,11.3,10.5,9.4,6,4.9,6.1,8
"CH",4.1,4.5,4.7,4.7,4.4,4.6,4.5,4.1,4.1,4.5,3.7,2.9,3.2,3.5
"CY",6.4,7.8,10.4,11.7,13.1,13.9,13.9,10.5,6.8,5.4,4.6,3.2,3.4,4.1
"CZ",1.8,2,2.7,3.5,4.6,5.6,6.2,6.1,5.9,6.4,5.9,4,4.9,6.4
"DE",3,3.2,3.5,3.9,4.4,4.7,4.9,5,5.4,6.5,7.3,7,8,9.5
"DK",4.5,4.5,5.1,5.3,5.7,6,6.5,6.8,6.5,6.7,5.4,2.7,3.1,3.2
"EE",4,4.6,5.3,5.9,5.5,7.2,8.3,9.5,11.5,15.1,12.8,4.9,4.2,5.6
"EL",17.1,18.9,20.7,22.8,24.4,26,26.9,23.7,17.2,12.1,9,7.2,7.8,8.2
"ES",12.9,14,15.9,18.2,20.6,22.8,24.5,23.3,19.9,18.4,16.3,10.1,7.2,7.5
"FI",5.1,6,7.1,7.4,7.7,7.1,6.6,6.1,6.1,6.8,6.6,4.9,5.3,6.1
"FR",7.5,8.1,8.5,8.9,9.2,9.2,8.7,8.3,7.7,7.6,7.3,6,6.6,7.2
"HR",6.3,7.7,10.1,11.6,14.4,15.3,15.5,14.5,12.4,10.2,8,7.2,8.7,9.9
"HU",3,3.4,3.7,4.5,6,6.8,9.1,10,10.2,10.4,9.1,7.2,6.9,6.8
"IE",4.1,4.8,5.8,7.5,8.9,10.7,12.4,14,14.1,13,11,5.7,4.3,3.8
"IS",2.9,2.1,1.8,2.5,3.1,4.3,4.6,4.6,5.6,6.3,6.1,1.9,1.3,1.8
"IT",9.8,10.3,10.9,11.1,11.2,11.8,11.2,9.6,7.5,7.5,6.9,6,5.3,5.9
"LT",5.8,5.6,6.6,7.4,8.6,9.9,11,12.6,14.3,16.7,12.7,5.2,4,5.4
"LU",4.7,5,4.9,5.3,5.8,4.9,5.3,4.5,4.3,3.9,4.2,4.2,3.4,4.1
"LV",5.9,7.2,8.3,9.3,9.5,10.4,11,13.7,14.8,18,16.2,7.4,5.7,6.2
"ME",15.5,15.2,15.9,17.1,16.4,17.1,18.6,19.2,19.3,NA,NA,NA,NA,NA
"MK",16.5,18.9,20.7,22.2,24.6,25.8,26.9,29,28.7,29.7,29.6,31,32.3,33.3
"MT",3.2,2.9,3.2,3.9,4.3,4.6,5,5,5.4,5.9,5.3,4.9,5.1,5.1
"NL",2.6,2.8,3.7,4.6,5.6,6.2,6,4.6,3.9,3.8,3.2,2.5,3,4
"NO",3.2,3.4,3.7,4.3,4,3.3,2.9,2.6,2.7,3,2.4,1.9,1.9,2.9
"PL",2.9,3.4,4.2,5.4,6.6,7.9,9,8.8,8.2,8.3,6.9,6.1,8.4,12.2
"PT",5.7,6.1,7.9,10,11.2,12.7,15.5,14.7,11.9,10.7,9.2,7.2,7.8,7.3
"RO",3.2,3.6,4.2,5.3,6.2,6.1,6.4,6.1,6.3,6.3,6.1,5,5.6,6.4
"RS",10.4,12.8,13.7,15.5,17.1,18.7,22,23.3,22.4,18.7,NA,NA,NA,NA
"SE",5.3,5.2,5.4,5.5,5.8,6,6.1,5.9,5.7,6.5,6.2,4.3,4.4,5.3
"SI",4.2,4.9,6.3,7.7,8.7,9.3,9.7,8.3,7.8,7,5.3,3.7,4.5,5.4
"SK",5.3,6.1,7.6,8.7,10.5,12,12.8,12.4,12.1,12.8,10.8,8.7,10.2,11.9
"TR",12.2,9.7,9.5,9.7,9,8.7,7.6,7.2,7.7,9.4,11.1,8.3,7.4,7.4
"UK",2.7,3,3.2,3.6,4,4.6,5.7,5.9,6.1,6.1,5.8,4.2,3.8,4
